TimestepsSoFar,loss_pol_entpen,loss_kl,EpLenMean,ev_tdlam_before,EpThisIter,loss_vf_loss,loss_ent,EpRewMean,EpisodesSoFar,loss_pol_surr,TimeElapsed
25514,-0.016225724481,0.00610344763845,911.214285714,0.00400912761688,,0.0961591079831,1.62257248163,-20.5357142857,28,-0.00926362350583,616.9241600036621
25514,-0.0158052965999,0.0133028095588,911.214285714,0.0021613240242,,0.0841124467552,1.58052968979,-20.5357142857,28,-0.00975457532331,623.0576169490814
26298,-0.0153468376957,0.0107715707272,906.827586207,-0.00152397155762,1,0.159671656787,1.53468379378,-20.5517241379,29,-0.0118445619009,629.1327369213104
26298,-0.0144983276259,0.00775081536267,906.827586207,0.000302076339722,,0.0896683800966,1.44983279705,-20.5517241379,29,-0.0128755867481,635.3212430477142
26298,-0.013230829034,0.0133210725617,906.827586207,-0.00113499164581,,0.0817026477307,1.32308292389,-20.5517241379,29,-0.0060569839552,641.6642038822174
26298,-0.012159432983,0.00847335206345,906.827586207,0.00284016132355,,0.0853416658938,1.21594333649,-20.5517241379,29,-0.0118668586947,648.1767108440399
27177,-0.0128527041525,0.00560709321871,905.9,-0.00111043453217,1,0.131743049249,1.2852704525,-20.5666666667,30,-0.00575617142022,654.264219045639
27177,-0.0124085741118,0.00217506382614,905.9,0.00217038393021,,0.0881686229259,1.24085742235,-20.5666666667,30,-0.000533455517143,660.7812039852142
27177,-0.0129688044544,0.00313374720281,905.9,-0.00547134876251,,0.0886552426964,1.29688045382,-20.5666666667,30,-0.00503462832421,667.2915580272675
27999,-0.0138877353165,0.00754903641064,903.193548387,-0.000718951225281,1,0.140027390793,1.38877356052,-20.5806451613,31,-0.000535657629371,673.6620378494263
27999,-0.0122518970165,0.019218262285,903.193548387,-0.00408947467804,,0.0812672041357,1.22518974543,-20.5806451613,31,-0.015214627143,679.8769869804382
27999,-0.0125573168043,0.000825841518235,903.193548387,0.00201272964478,,0.0850190408528,1.25573170185,-20.5806451613,31,-0.0030733239837,685.9378278255463
28817,-0.0134891828056,0.00646988395602,900.53125,-0.00168025493622,1,0.157876841724,1.34891831875,-20.59375,32,-0.00350063759834,692.041995048523
28817,-0.0132499488536,0.00105702926521,900.53125,-0.000114560127258,,0.102940933779,1.32499489188,-20.59375,32,-0.00270989537239,698.5041439533234
28817,-0.0137160166632,0.00242964422796,900.53125,0.00167882442474,,0.0910078585148,1.37160170078,-20.59375,32,-0.00532053317875,704.9560370445251
29695,-0.0138544309884,0.00316075002775,899.848484848,0.00306868553162,1,0.158224854618,1.38544312119,-20.6060606061,33,-0.0096288844943,710.9044678211212
29695,-0.0137220309116,0.00101135837031,899.848484848,1.09672546387e-05,,0.0791866108775,1.37220314145,-20.6060606061,33,-0.0039012208581,716.6757898330688
29695,-0.0123302929569,0.0205808989704,899.848484848,0.00753825902939,,0.0954756159335,1.23302930593,-20.6060606061,33,-0.011270981282,722.8899140357971
29695,-0.0103514159564,0.0247617410496,899.848484848,0.00622767210007,,0.0859284251928,1.03514164686,-20.6060606061,33,-0.00852687936276,729.3987448215485
30515,-0.0107344510034,0.00347101810621,897.5,-0.00102007389069,1,0.150451537222,1.07344514132,-20.6176470588,34,-0.00522531755269,735.8385188579559
30515,-0.0110068165231,0.0017860813532,897.5,-0.00374126434326,,0.0880535002798,1.10068169236,-20.6176470588,34,-0.00517177768052,742.1881959438324
30515,-0.00988165778108,0.0100514271762,897.5,0.00285542011261,,0.0927478130907,0.988165810704,-20.6176470588,34,-0.00762562081218,748.6775448322296
31335,-0.0100408601575,0.000781438749982,895.285714286,-0.000950217247009,1,0.158859480172,1.00408601761,-20.6285714286,35,-0.000976423732936,754.8533918857574
31335,-0.0100328011904,0.0015311568568,895.285714286,0.000721454620361,,0.0933522786945,1.00328013301,-20.6285714286,35,-0.0109748300165,761.0601398944855
31335,-0.0103333492298,0.00513475993648,895.285714286,0.00560063123703,,0.0827773641795,1.03333494067,-20.6285714286,35,-0.0154009591788,767.2623398303986
32164,-0.0101207024418,0.00280566042056,893.444444444,0.00108247995377,1,0.146050816402,1.01207026839,-20.6111111111,36,-0.00682382378727,773.2066068649292
32164,-0.00946325832047,0.00567839306314,893.444444444,0.00478810071945,,0.0983170978725,0.946325838566,-20.6111111111,36,-0.0126087530516,779.0810949802399
32164,-0.00785874575377,0.0105258694384,893.444444444,0.0037836432457,,0.0839729541913,0.785874590278,-20.6111111111,36,-0.00614898465574,785.6376268863678
32986,-0.00835450971499,0.00188733052346,891.513513514,0.000209152698517,1,0.158446814865,0.835450977087,-20.6216216216,37,-0.00426497682929,792.0928528308868
32986,-0.00913694035262,0.00258744240273,891.513513514,-0.00070858001709,,0.0852658618242,0.913694038987,-20.6216216216,37,-0.00826630368829,798.3905639648438
32986,-0.00807528267615,0.00542464363389,891.513513514,-0.000865459442139,,0.090151425451,0.807528287172,-20.6216216216,37,-0.0112118162215,804.6445178985596
33760,-0.00774732301943,0.000780045025749,888.421052632,0.00179278850555,1,0.162500865757,0.774732321501,-20.6315789474,38,-0.00169804971665,811.0598759651184
33760,-0.00698644004297,0.00211618887261,888.421052632,0.000683546066284,,0.0905359853059,0.698644012213,-20.6315789474,38,-0.000836788676679,817.589704990387
33760,-0.00658740918152,0.00141191371949,888.421052632,0.00803059339523,,0.0836388841271,0.65874093771,-20.6315789474,38,-0.00452472828329,824.023099899292
34536,-0.00596188625786,0.00154922399088,885.538461538,0.00385689735413,1,0.175371129066,0.596188649535,-20.641025641,39,-0.0035708649084,830.4238138198853
34536,-0.00482001178898,0.00533615716267,885.538461538,-0.000832676887512,,0.0808854475617,0.482001200318,-20.641025641,39,-0.00701752863824,836.7594079971313
34536,-0.0057285442017,0.00371092214482,885.538461538,-5.35249710083e-05,,0.0907176099718,0.572854444385,-20.641025641,39,-0.00598579831421,842.8153619766235
34536,-0.00662803242449,0.00322904292261,885.538461538,0.00502282381058,,0.0833580959588,0.662803262472,-20.641025641,39,-0.00680321641266,849.1156449317932
35353,-0.00752618070692,0.00304310070351,883.825,0.002590239048,1,0.177581805736,0.752618104219,-20.65,40,-0.00045773293823,855.6099648475647
35353,-0.00745231751353,0.0010250020714,883.825,0.0120555758476,,0.0845499839634,0.74523177743,-20.65,40,-0.00640916824341,862.2450268268585
35353,-0.00814773747697,0.00236153817968,883.825,0.000567317008972,,0.0933601018041,0.814773753285,-20.65,40,-0.00034209061414,868.7655539512634
36170,-0.00746322935447,0.00203770201188,882.195121951,0.00355392694473,1,0.166209954768,0.74632294476,-20.6585365854,41,-0.00441372487694,874.8809909820557
36170,-0.00747187982779,0.000808656550362,882.195121951,-0.00236237049103,,0.0972590371966,0.74718798697,-20.6585365854,41,-0.00531162600964,881.1665098667145
36170,-0.00874254852533,0.00761620188132,882.195121951,0.00337731838226,,0.0816676523536,0.874254867435,-20.6585365854,41,-0.00960237067193,887.7973380088806
36987,-0.0094264051877,0.00344534381293,880.642857143,0.000795125961304,1,0.183620352298,0.942640528083,-20.6666666667,42,-0.00437448965386,894.5518219470978
36987,-0.0104294104967,0.00529130105861,880.642857143,-0.00208425521851,,0.0743118831888,1.04294106364,-20.6666666667,42,-0.00498634576797,901.0320889949799
36987,-0.0097668657545,0.0024226331152,880.642857143,0.00873166322708,,0.0867211669683,0.97668659687,-20.6666666667,42,-0.00423575658351,907.5301790237427
37870,-0.0101825499441,0.00347618793603,880.697674419,0.00187206268311,1,0.155818685889,1.01825502515,-20.6744186047,43,-0.00996244698763,914.1125688552856
37870,-0.0110671233851,0.00452729978133,880.697674419,0.000256538391113,,0.0900244954973,1.10671237111,-20.6744186047,43,-0.00764983147383,920.325220823288
37870,-0.0119813925121,0.00828864728101,880.697674419,0.00217348337173,,0.0832923222333,1.19813930988,-20.6744186047,43,-0.0056405775249,926.8916640281677
37870,-0.0124670518562,0.00212466996163,880.697674419,0.00199544429779,,0.0908807795495,1.24670520425,-20.6744186047,43,-0.0058440216817,933.1037669181824
38690,-0.012279128423,0.00181114446605,879.318181818,0.002092897892,1,0.168027229607,1.22791287303,-20.6818181818,44,-0.00308662839234,939.5602788925171
38690,-0.0108716599643,0.0113992351107,879.318181818,-0.00192964076996,,0.0831376034766,1.08716601133,-20.6818181818,44,-0.0099939359352,945.9126329421997
38690,-0.00977554707788,0.00761036260519,879.318181818,0.00450372695923,,0.0809885114431,0.97755472362,-20.6818181818,44,-0.0100335646421,952.3959188461304
39507,-0.01084707072,0.00643826671876,877.933333333,-0.000263452529907,1,0.173546910286,1.08470711112,-20.6888888889,45,-0.00879348628223,958.8406119346619
39507,-0.0114157833159,0.00174461965798,877.933333333,-0.00063693523407,,0.087323019281,1.14157837629,-20.6888888889,45,-0.000613904092461,965.3414399623871
39507,-0.0108418343589,0.0071167119313,877.933333333,0.00473582744598,,0.088279850781,1.08418345451,-20.6888888889,45,-0.019496880006,971.5661909580231
40327,-0.0113812834024,0.00406828220002,876.673913043,0.00143730640411,1,0.152020379901,1.13812837005,-20.6956521739,46,-0.00372403860092,977.9549858570099
40327,-0.0110290215816,0.00246294785757,876.673913043,-0.000654935836792,,0.0878998618573,1.1029022038,-20.6956521739,46,-0.00593823473901,984.466059923172
40327,-0.010870838305,0.00163480796618,876.673913043,0.00378376245499,,0.083670604974,1.08708387613,-20.6956521739,46,-0.00256343139336,991.4088799953461
41142,-0.00985143543221,0.00792758981697,875.361702128,0.000220954418182,1,0.163438398391,0.985143557191,-20.7021276596,47,-0.0146957803518,997.96240401268
41142,-0.00901550217532,0.00425444950815,875.361702128,0.00118631124496,,0.158066328615,0.901550233364,-20.7021276596,47,-0.00760379713029,1004.4283559322357
41142,-0.00874389288947,0.000516615386005,875.361702128,0.00397491455078,,0.0926738735288,0.874389305711,-20.7021276596,47,-0.000289057381451,1010.8369739055634
41973,-0.00980860763229,0.00499895552639,874.4375,0.00240325927734,1,0.156165497378,0.98086078465,-20.6875,48,-0.00639699772,1017.1599678993225
41973,-0.0105889218394,0.00453245895915,874.4375,0.000302076339722,,0.0684269592166,1.05889219046,-20.6875,48,-0.00884993257932,1023.5785248279572
41973,-0.0111687474418,0.0027636383893,874.4375,-0.00244379043579,,0.0827698651701,1.11687475443,-20.6875,48,-0.00337465852499,1030.1915349960327
41973,-0.0117788065691,0.00214683287777,874.4375,0.00459372997284,,0.0819595661014,1.1778806746,-20.6875,48,-0.00533831678331,1036.9019470214844
42870,-0.0121401420329,0.00307495013112,874.897959184,0.000145256519318,1,0.162578254938,1.21401423216,-20.693877551,49,-0.00641883164644,1043.4457058906555
42870,-0.0114187533036,0.00317930709571,874.897959184,0.00119507312775,,0.0884263198823,1.14187535644,-20.693877551,49,-0.00638101808727,1050.0562930107117
42870,-0.0108436837327,0.00364605220966,874.897959184,0.00588458776474,,0.0875510443002,1.08436837792,-20.693877551,49,-0.00241342838854,1057.125254869461
43687,-0.0116021523718,0.00371193344472,873.74,0.00149935483932,1,0.145743669942,1.1602152586,-20.7,50,-0.00437168171629,1064.9714488983154
43687,-0.0127380504273,0.00749801343773,873.74,0.00615149736404,,0.0910174939781,1.27380508184,-20.7,50,-0.0137399481609,1073.369108915329
43687,-0.0127484272234,0.00198960548732,873.74,0.00491535663605,,0.0909177754074,1.27484273911,-20.7,50,-0.00506995618343,1083.3205909729004
43687,-0.0134806458373,0.00817430322058,873.74,0.0075318813324,,0.0809624847025,1.34806460142,-20.7,50,-0.00617263559252,1093.5902290344238
44566,-0.0138926734217,0.00775010371581,873.843137255,0.00186514854431,1,0.172878656536,1.38926738501,-20.7058823529,51,-0.0127105023712,1101.292291879654
